"time"	"rain"
0	12
2	0
4	12
6	12
8	0
10	12
12	12
14	12
16	0
18	12
20	12
22	12
24	12
26	0
28	12
30	0
32	0
34	12
36	0
38	0
40	12
42	0
44	12
46	0
48	0
50	12
52	0
54	12
56	0
58	0
60	0
62	0
64	12
66	0
68	0
70	0
72	0
74	0
76	0
78	0
80	0
82	12
84	0
86	0
88	0
90	0
92	0
94	0
96	0
98	0
100	0
102	0
104	0
106	0
108	0
110	0
112	0
114	0
116	0
118	0
120	0
122	0
124	0
126	0
128	0
130	0
132	0
134	0
136	0
138	0
140	0
142	0
144	0
146	0
148	0
150	0
152	12
154	0
156	0
158	12
160	12
162	0
164	0
166	12
168	0
170	0
172	0
174	0
176	0
178	0
180	0
182	0
184	0
186	12
188	0
190	0
192	0
194	0
196	0
198	0
200	0
202	0
204	0
206	0
208	0
210	0
212	0
214	0
216	0
218	0
220	0
222	0
224	0
226	0
228	0
230	0
232	0
234	0
236	0
238	0
240	0
242	0
244	0
246	0
248	0
250	0
252	0
254	0
256	0
258	12
260	0
262	0
264	0
266	12
268	0
270	12
272	0
274	12
276	0
278	0
280	12
282	0
284	0
286	12
288	12
290	12
292	12
294	0
296	12
298	12
300	0
302	0
304	12
306	0
308	0
310	0
312	0
314	0
316	12
318	0
320	0
322	12
324	0
326	0
328	0
330	0
332	0
334	0
336	0
338	0
340	0
342	0
344	0
346	0
348	0
350	0
