"ID";"WeekSubWeek";"Weeks";"SubWeek";"WeekNo";"N";"mean.d13C";"SD.d13C";"SE.d13C";"Conc";"Sdconc";"ti";"tf";"iflux";"fflux";"changeflux";"peak";"valley";"peakvalley";"tdiff";"AveDischarge";"Volume";"SampledHrs";"Sampled";"Sampling";"FilteredVolume";"MESf";"MESsd";"MO";"ExportMES.kg";"NH4.mM";"Cl.mM";"NO3...mM";"PO4..mM";"NPOC.ppm";"TIC.ppm.filt";"TIC.ppm.unfilt";"TOC.ppm.unfilt";"DD13C";"f";"B";"invf"
"AO-W0-1";"W0-1";"W0";"1";0;2;NA;NA;NA;NA;NA;2016-03-25 12:04:00;"2016-03-28 22:37:00";1,135;1,288;0,153;1,288;1,101;0,153;81,55;1,19274634146341;48,9026;41;"Sampled";"29/03/2016";60;48,3;NA;NA;2,36199558;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AO-W0-2";"W0-2";"W0";"2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"29/03/2016";50;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AO-W0-3";"W0-3";"W0";"3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30/03/2016";50;64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AO-W1-1";"W1-1";"W1";"1";1;3;-30,4686666666667;0,106001572315383;0,06120003631081;6,788246322;0,289417455;2016-03-30 06:20:00;"2016-03-31 14:25:00";1,302;17,53;16,228;36,82;1,302;35,518;32,0833333333333;22,9290675990676;327,885666666667;14,3;"Sampled";"05/04/2016";40;62,5;NA;0,001;20,4928541666667;0,05;1,48;616;NA;4;51,8;44,8;4,7;1,0013333333333;0,526332015437095;47,3667984562905;1,89994142607788
"AO-W1-2";"W1-2";"W1";"2";1;3;-30,6196666666667;0,151354991108101;0,0873848448594558;6,560998197;0,190639003;2016-03-31 15:35:00;"2016-04-01 13:26:00";15,89;15,17;-0,720000000000001;17,38;13,33;-2,56;21,85;15,5211527377522;359,056;23,1333333333333;"Sampled";"05/04/2016";40;22,5;NA;NA;8,07876;NA;1574;778;NA;4,4;44,8;26,4;5,4;0,8503333333333;0,57979581578781;42,020418421219;1,72474511331412
"AO-W1-3x";"W1-3x";"W1";"3x";1;1;NA;NA;NA;NA;NA;2016-04-01 14:45:00;"2016-04-05 15:07:00";15,28;5,925;-9,355;15,28;5,925;-9,355;96,3666666666667;9,08483529411765;875,172466666667;96,3333333333333;"Not Sampled";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AO-W2-1";"W2-1";"W2";"1";2;3;-30,0963333333333;0,0691399546813073;0,0399179714470113;9,444301877;0,333540497;2016-04-05 17:22:00;"2016-04-06 13:25:00";17,12;14,64;-2,48;17,37;12,62;-4,5;20,05;14,6630900140647;347,515233333333;23,7;"Sampled";"12/04/2016";40;22,5;NA;NA;7,81909274999999;NA;1604;895;NA;5,8;66,7;39;2,7;1,3736666666667;0,414655212256671;58,5344787743329;2,4116421799155
"AO-W2-2";"W2-2";"W2";"2";2;3;-29,2693333333333;1,44193804767519;0,832503319980034;1,042188295;0,039040273;2016-04-06 14:51:00;"2016-04-07 22:10:00";13,55;7,924;-5,626;13,55;7,708;-5,842;31,3166666666667;10,5010246791708;354,5846;33,7666666666667;"Sampled";"12/04/2016";40;5;NA;NA;1,772923;NA;1238;0,7;NA;3,4;52,1;32,3;3,8;2,2006666666667;0,244219959539807;75,5780040460194;4,09466941966717
"AO-W2-3x";"W2-3x";"W2";"3x";2;1;NA;NA;NA;NA;NA;2016-04-08 00:38:00;"2016-04-15 20:54:00";7,998;4,423;-3,575;7,998;4,423;-3,575;188,266666666667;14,6630900140647;347,515233333333;23,7;"Not Sampled";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AO-W3-1";"W3-1";"W3";"1";3;3;-29,917;0,135103663902945;0,0780021367228702;8,8357358;0,470864495;2016-04-16 03:25:00;"2016-04-16 17:18:00";4,807;25,072;20,265;31,459;4,807;26,652;13,8833333333333;15,2143405238829;329,1369;21,6333333333333;"Sampled";"18/04/2016";40;197,5;NA;0,0058;65,00453775;NA;1273;1012;NA;9,1;69,4;54,8;3,9;1,553;0,369671378265732;63,0328621734268;2,70510528754316
"AO-W3-2";"W3-2";"W3";"2";3;3;-29,7683333333333;0,163573632757035;0,094439280904599;10,73573241;0,93809949;2016-04-16 18:32:00;"2016-04-17 08:40:00";23,807;76,843;53,036;76,843;20,091;53,036;14,1333333333333;49,4548965517241;717,096;14,5;"Sampled";"18/04/2016";40;52,5;NA;6e-04;37,64754;NA;1286;1413;NA;5,6;61,2;60,1;5;1,7016666666667;0,336108651536491;66,3891348463509;2,97522838352594
"AO-W3-2.1x";"W3-2.1x";"W3";"2.1x";3;1;NA;NA;NA;NA;NA;2016-04-17 09:02:00;"2016-04-18 20:30:00";78,965;19,716;-59,249;78,965;19,716;-59,249;35,4666666666667;50,09025;1776,5342;35,4666666666667;"Not Sampled";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AO-W3-3";"W3-3";"W3";"3";3;3;-30,4056666666667;0,482827436392479;0,278760550373335;0,871835608;0,018804581;2016-04-19 00:08:00;"2016-04-21 09:11:00";15,958;6,117;-9,841;15,958;6,117;-9,841;57,05;9,90962967032967;601,1842;60,6666666666667;"Sampled";"21/04/2016";40;137,5;NA;0,0016;82,6628275;NA;1212;774;NA;1,9;73,9;44,64;2,1;1,0643333333333;0,505512809308571;49,4487190691429;1,97818923988846
