"time"	"rain"
0	12
2	0
4	12
6	12
8	0
10	12
12	12
14	12
16	0
18	12
20	12
22	12
24	12
26	0
28	12
30	0
32	0
34	12
36	0
38	0
40	12
42	0
44	12
46	0
48	0
50	12
52	0
54	12
56	0
58	0
60	0
62	0
64	12
66	0
68	0
70	0
72	0
74	0
76	0
78	0
80	0
82	12
84	0
86	0
88	0
90	0
92	0
94	0
96	0
98	0
100	0
102	0
104	0
106	0
108	0
110	0
112	0
114	0
116	0
118	0
120	0
122	0
124	0
126	0
128	0
130	0
132	0
134	0
136	0
138	0
140	0
142	0
144	0
146	0
148	0
150	0
152	12
154	0
156	0
158	12
160	12
162	0
164	0
166	12
168	0
170	0
172	0
174	0
176	0
178	0
180	0
182	0
184	0
186	12
188	0
190	0
192	0
194	0
196	0
198	0
200	0
202	0
204	0
206	0
208	0
210	0
212	0
214	0
216	0
218	0
220	0
222	0
224	0
226	0
228	0
230	0
232	0
234	0
236	0
238	0
240	0
242	0
244	0
246	0
248	0
250	0
252	0
254	0
256	0
258	12
260	0
262	0
264	0
266	12
268	0
270	12
272	0
274	12
276	0
278	0
280	12
282	0
284	0
286	12
288	12
290	12
292	12
294	0
296	12
298	12
300	0
302	0
304	12
306	0
308	0
310	0
312	0
314	0
316	12
318	0
320	0
322	12
324	0
326	0
328	0
330	0
332	0
334	0
336	0
338	0
340	0
342	0
344	0
346	0
348	0
350	0
352	0
354	0
356	0
358	0
360	0
362	0
364	0
366	0
368	0
370	0
372	0
374	0
376	0
378	0
380	0
382	0
384	0
386	0
388	0
390	0
392	0
394	0
396	0
398	0
400	0
402	0
404	0
406	0
408	0
410	0
412	0
414	0
416	0
418	0
420	0
422	0
424	0
426	0
428	0
430	0
432	0
434	0
436	0
438	0
440	0
442	0
444	0
446	0
448	0
450	0
452	0
454	0
456	0
458	0
460	0
462	0
464	0
466	0
468	0
470	0
472	0
474	0
476	0
478	0
480	0
482	0
484	0
486	0
488	0
490	0
492	0
494	0
496	0
498	0
500	0
502	0
504	0
506	0
508	0
510	0
512	0
514	0
516	0
518	0
520	0
522	0
524	0
526	0
528	0
530	0
532	0
534	0
536	0
538	0
540	0
542	0
544	0
546	0
548	0
550	0
552	0
554	0
556	0
558	0
560	0
562	0
564	0
566	0
568	0
570	0
572	0
574	0
576	0
578	0
580	0
582	0
584	0
586	0
588	0
590	0
592	0
594	0
596	0
598	0
600	0
602	0
604	0
606	0
608	0
610	0
612	0
614	0
616	0
618	0
620	0
622	0
624	0
626	0
628	0
630	0
632	0
634	0
636	0
638	0
640	0
642	12
644	0
646	0
648	0
650	0
652	0
654	0
656	0
658	0
660	0
662	0
664	0
666	0
668	0
670	0
672	0
674	0
676	0
678	0
680	0
682	0
684	0
686	0
688	0
690	0
692	0
694	0
696	0
698	0
700	0
702	0
704	0
706	0
708	0
710	0
712	0
714	0
716	0
718	0
720	0
722	0
724	0
726	0
728	0
730	0
732	0
734	0
736	0
738	0
740	0
742	0
744	0
746	0
748	0
750	0
752	0
754	0
756	0
758	0
760	0
762	0
764	0
766	0
768	0
770	0
772	0
774	0
776	0
778	0
780	0
782	0
784	0
786	0
788	0
790	0
792	0
794	0
796	0
798	0
800	0
802	0
804	0
806	0
808	0
810	12
812	0
814	0
816	0
818	0
820	0
822	0
824	0
826	0
828	0
830	0
832	0
834	0
836	0
838	0
840	0
842	0
844	0
846	0
848	0
850	0
852	0
854	0
856	0
858	0
860	0
862	0
864	0
866	0
868	0
870	0
872	0
874	0
876	12
878	0
880	0
882	0
884	0
886	0
888	0
890	0
892	0
894	0
896	0
898	0
900	0
902	0
904	0
906	0
908	0
910	0
912	0
914	0
916	0
918	0
920	0
922	0
924	0
926	0
928	0
930	0
932	0
934	12
936	0
938	0
940	12
942	0
944	0
946	0
948	12
950	0
952	0
954	0
956	0
958	12
960	0
962	12
964	12
966	0
968	0
970	0
972	12
974	0
976	12
978	0
980	12
982	0
984	12
986	12
988	12
990	0
992	12
994	12
996	0
998	12
1000	0
1002	0
1004	0
1006	12
1008	0
1010	0
1012	0
1014	0
1016	0
1018	12
1020	0
1022	0
1024	0
1026	12
1028	0
1030	12
1032	12
1034	0
1036	12
1038	0
1040	12
1042	0
1044	0
1046	0
1048	12
1050	0
1052	12
1054	0
1056	0
1058	0
1060	0
1062	0
1064	12
1066	0
1068	0
1070	0
1072	12
1074	0
1076	0
1078	0
1080	0
1082	0
1084	0
1086	12
1088	0
1090	0
1092	0
1094	0
1096	0
1098	0
1100	0
1102	0
1104	0
1106	0
1108	0
1110	12
1112	0
1114	0
1116	0
1118	12
1120	0
1122	12
1124	0
1126	0
1128	12
1130	0
1132	0
1134	0
1136	0
1138	12
1140	0
1142	0
1144	0
1146	0
1148	0
1150	0
1152	12
1154	0
1156	0
1158	12
1160	0
1162	0
1164	12
1166	12
1168	0
1170	0
1172	0
1174	12
1176	0
1178	0
1180	0
1182	0
1184	0
1186	0
1188	0
1190	12
